Title,Year,Genre,RunTime,Rating,Votes,Director,Cast,Gross
In the Heat of the Night,1967,Crime;Drama;Mystery,110,7.9,68739,Norman Jewison,Sidney Poitier;Rod Steiger;Warren Oates;Lee Grant,24.38
Forushande,2016,Drama,124,7.8,52643,Asghar Farhadi,Shahab Hosseini;Taraneh Alidoosti;Babak Karimi;Mina Sadati,2.4
Rogue One,2016,Action;Adventure;Sci-Fi,133,7.8,564143,Gareth Edwards,Felicity Jones;Diego Luna;Alan Tudyk;Donnie Yen,532.18
Le passé,2013,Drama;Mystery,130,7.8,45438,Asghar Farhadi,Bérénice Bejo;Tahar Rahim;Ali Mosaffa;Pauline Burlet,1.33
A Bronx Tale,1993,Crime;Drama;Romance,121,7.8,129908,Robert De Niro,Robert De Niro;Chazz Palminteri;Lillo Brancato;Francis Capra,17.27
The Right Stuff,1983,Adventure;Biography;Drama,193,7.8,56656,Philip Kaufman,Sam Shepard;Scott Glenn;Ed Harris;Dennis Quaid,21.5
Red River,1948,Action;Adventure;Drama,133,7.8,28561,Arthur Rosson,John Wayne;Montgomery Clift;Joanne Dru;Walter Brennan,-1
Spoorloos,1988,Mystery;Thriller,107,7.7,34430,George Sluizer,Bernard-Pierre Donnadieu;Gene Bervoets;Johanna ter Steege;Gwen Eckhaus,-1
Ordinary People,1980,Drama,124,7.7,47763,Robert Redford,Donald Sutherland;Mary Tyler Moore;Judd Hirsch;Timothy Hutton,54.8
The Taking of Pelham One Two Three,1974,Action;Crime;Thriller,104,7.7,27093,Joseph Sargent,Walter Matthau;Robert Shaw;Martin Balsam;Hector Elizondo,0.85
The Dirty Dozen,1967,Action;Adventure;War,150,7.7,67802,Robert Aldrich,Lee Marvin;Ernest Borgnine;Charles Bronson;John Cassavetes,45.3
The Butterfly Effect,2004,Drama;Sci-Fi;Thriller,113,7.6,455208,Mackye Gruber,Ashton Kutcher;Amy Smart;Melora Walters;Elden Henson,57.94
Giant,1956,Drama;Western,201,7.6,34594,George Stevens,Elizabeth Taylor;Rock Hudson;James Dean;Carroll Baker,-1
Forrest Gump,1994,Drama;Romance,142,8.8,1838908,Robert Zemeckis,Tom Hanks;Robin Wright;Gary Sinise;Sally Field,330.25
Goodfellas,1990,Biography;Crime;Drama,146,8.7,1036656,Martin Scorsese,Robert De Niro;Ray Liotta;Joe Pesci;Lorraine Bracco,46.84
Whiplash,2014,Drama;Music,106,8.5,732412,Damien Chazelle,Miles Teller;J.K. Simmons;Melissa Benoist;Paul Reiser,13.09
The Departed,2006,Crime;Drama;Thriller,151,8.5,1206364,Martin Scorsese,Leonardo DiCaprio;Matt Damon;Jack Nicholson;Mark Wahlberg,132.38
Back to the Future,1985,Adventure;Comedy;Sci-Fi,116,8.5,1074676,Robert Zemeckis,Michael J. Fox;Christopher Lloyd;Lea Thompson;Crispin Glover,210.61
Spider-Man: Into the Spider-Verse,2018,Animation;Action;Adventure,117,8.4,392622,Rodney Rothman,Shameik Moore;Jake Johnson;Hailee Steinfeld;Mahershala Ali,190.24
The Sting,1973,Comedy;Crime;Drama,129,8.3,244218,George Roy Hill,Paul Newman;Robert Redford;Robert Shaw;Charles Durning,159.6
Andhadhun,2018,Crime;Drama;Music,139,8.2,74693,Sriram Raghavan,Ayushmann Khurrana;Tabu;Radhika Apte;Anil Dhawan,1.37
Shutter Island,2010,Mystery;Thriller,138,8.2,1151166,Martin Scorsese,Leonardo DiCaprio;Emily Mortimer;Mark Ruffalo;Ben Kingsley,128.01
The Wolf of Wall Street,2013,Biography;Crime;Drama,180,8.2,1213630,Martin Scorsese,Leonardo DiCaprio;Jonah Hill;Margot Robbie;Matthew McConaughey,116.9
Casino,1995,Crime;Drama,178,8.2,473378,Martin Scorsese,Robert De Niro;Sharon Stone;Joe Pesci;James Woods,42.44
Raging Bull,1980,Biography;Drama;Sport,129,8.2,325819,Martin Scorsese,Robert De Niro;Cathy Moriarty;Joe Pesci;Frank Vincent,23.38
Taxi Driver,1976,Crime;Drama,114,8.2,736567,Martin Scorsese,Robert De Niro;Jodie Foster;Cybill Shepherd;Albert Brooks,28.26
To Kill a Mockingbird,1962,Crime;Drama,129,8.2,296506,Robert Mulligan,Gregory Peck;John Megna;Frank Overton;Rosemary Murphy,-1
Three Billboards Outside Ebbing;Missouri,2017,Comedy;Crime;Drama,115,8.1,444589,Martin McDonagh,Frances McDormand;Woody Harrelson;Sam Rockwell;Caleb Landry Jones,54.51
Haider,2014,Action;Crime;Drama,160,8.1,50830,Vishal Bhardwaj,Shahid Kapoor;Tabu;Shraddha Kapoor;Kay Kay Menon,0.9
Le samouraï,1967,Crime;Drama;Mystery,105,8.1,46303,Pierre Melville,Alain Delon;François Périer;Nathalie Delon;Cathy Rosier,0.04
La La Land,2016,Comedy;Drama;Music,128,8,515895,Damien Chazelle,Ryan Gosling;Emma Stone;Rosemarie DeWitt;J.K. Simmons,151.1
Casino Royale,2006,Action;Adventure;Thriller,144,8,587173,Martin Campbell,Daniel Craig;Eva Green;Judi Dench;Jeffrey Wright,167.45
